City,Country,Latitude,Longitude,Date,Temp,Cloudiness,Humidity,Wind Speed
Ancud,CL,-41.87,-73.83,1538177416,48.93,92,98,8.41
Tambun,MY,4.62,101.14,1538175600,77.0,75,94,1.14
Margate,AU,-43.03,147.26,1538175600,50.0,20,46,23.04
Victor Harbor,AU,-35.55,138.62,1538175600,53.6,20,54,5.82
Ushuaia,AR,-54.81,-68.31,1538175600,37.4,90,86,21.92
Lompoc,US,34.64,-120.46,1538175360,77.0,1,72,16.11
Punta Arenas,CL,-53.16,-70.91,1538175600,41.0,0,100,8.05
Naze,NG,5.43,7.07,1538172000,73.4,40,94,1.59
Port-Gentil,GA,-0.72,8.78,1538175600,78.8,75,88,6.93
Port Elizabeth,US,39.31,-74.98,1538175360,66.92,1,93,4.38
Caucaia,BR,-3.73,-38.66,1538175600,80.6,0,74,9.17
Puerto Ayora,EC,-0.74,-90.35,1538175600,77.0,20,73,19.46
Lebu,ET,8.96,38.73,1538175600,59.0,20,47,9.17
Rikitea,PF,-23.12,-134.97,1538177573,71.88,92,100,4.83
Albany,US,42.65,-73.75,1538175900,59.0,75,77,3.36
Geraldton,CA,49.72,-86.95,1538175600,41.0,75,65,2.24
Yining,CN,29.04,114.56,1538177864,66.93,0,84,3.49
Vaini,IN,15.34,74.49,1538177567,68.73,92,98,2.15
Neuquen,AR,-38.95,-68.06,1538175600,66.2,0,32,16.11
Pevek,RU,69.7,170.27,1538177809,44.07,56,90,3.38
Santa Cruz,US,36.97,-122.03,1538175780,71.6,20,67,6.93
Fortuna,ES,38.18,-1.13,1538175600,68.0,0,82,4.7
Port Alfred,ZA,-33.59,26.89,1538177646,63.06,0,85,26.98
Los Llanos de Aridane,ES,28.66,-17.92,1538175600,73.4,44,73,13.87
Kupang,ID,-10.16,123.6,1538175600,82.4,20,54,3.36
Kapaa,US,22.08,-159.32,1538175360,84.92,75,79,17.22
Singaparna,ID,-7.35,108.11,1538177867,60.63,20,90,1.7
Abu Kamal,SY,34.45,40.92,1538177868,65.49,0,33,4.94
Cape Town,ZA,-33.93,18.42,1538175600,48.2,20,81,3.36
Sachin,FR,50.49,2.38,1538177400,48.2,0,87,11.41
Barentu,ER,15.11,37.59,1538177869,60.36,20,67,3.94
Pavlovka,RU,52.69,47.13,1538177869,51.45,32,75,15.68
Butaritari,KI,3.07,172.79,1538177663,85.29,0,100,6.85
Virginia Beach,US,36.85,-75.98,1538176560,73.94,75,76,4.7
Vershino-Darasunskiy,RU,52.35,115.52,1538177870,47.67,32,76,6.17
Moose Factory,CA,51.26,-80.61,1538175840,39.2,90,86,3.36
Amahai,ID,-3.31,129.0,1538177871,79.17,88,100,9.19
Ojinaga,US,29.56,-104.41,1538177727,85.29,0,27,2.82
Kyshtovka,RU,56.56,76.62,1538177872,44.7,8,91,15.79
Cidreira,BR,-30.17,-50.22,1538177624,66.93,56,92,20.15
Dagda,LV,56.09,27.54,1538177872,40.83,8,93,9.75
Bambous Virieux,MU,-20.34,57.76,1538175600,71.6,40,73,10.29
Kungurtug,RU,50.6,97.53,1538177873,16.53,0,70,2.37
Reconquista,AR,-29.14,-59.64,1538177873,79.98,24,69,10.31
Barrow,AR,-38.31,-60.23,1538177689,59.91,92,97,7.96
Road Town,VG,18.42,-64.62,1538175600,80.6,40,78,10.29
Dicabisagan,PH,17.08,122.42,1538177874,81.24,12,100,5.06
Jamestown,AU,-33.21,138.6,1538177691,52.08,0,47,8.97
Golden,CA,51.3,-116.96,1538175600,51.8,90,43,2.24
Goundam,ML,16.42,-3.66,1538177875,80.7,8,59,7.63
Sao Gabriel da Cachoeira,BR,-0.13,-67.09,1538177875,77.73,56,92,0.92
Luderitz,NA,-26.65,15.16,1538177850,58.29,8,68,17.13
Qaqortoq,GL,60.72,-46.03,1538175000,37.4,0,69,17.22
Tazovskiy,RU,67.47,78.7,1538177876,52.08,8,66,19.71
Saldanha,PT,41.42,-6.55,1538177548,60.27,8,69,6.62
Dikson,RU,73.51,80.55,1538177563,40.02,64,89,14.67
Dunmore Town,BS,25.5,-76.65,1538177877,82.77,92,100,20.83
Mataura,NZ,-46.19,168.86,1538177538,58.74,80,62,25.08
Narsaq,GL,60.91,-46.05,1538175000,37.4,0,69,17.22
Denpasar,ID,-8.65,115.22,1538177878,74.67,20,89,2.15
Krasnovishersk,RU,60.4,57.08,1538177878,40.56,92,99,8.63
Khatanga,RU,71.98,102.47,1538177584,40.83,12,90,12.88
Kaeo,NZ,-35.1,173.78,1538177879,60.99,64,53,1.14
Ilulissat,GL,69.22,-51.1,1538175000,33.8,75,74,10.29
Campo Grande,BR,-20.46,-54.62,1538175600,75.2,20,78,4.7
Bethel,US,60.79,-161.76,1538175180,66.02,20,54,18.34
Nizwa,OM,22.93,57.53,1538177787,65.04,0,66,2.82
Tuktoyaktuk,CA,69.44,-133.03,1538175600,30.2,90,80,9.17
Hermanus,ZA,-34.42,19.24,1538177547,44.61,56,91,1.92
Mwense,ZM,-10.39,28.7,1538177881,75.21,88,37,3.83
Provideniya,RU,64.42,-173.23,1538177642,48.21,92,86,27.2
Citta di Castello,IT,43.47,12.23,1538175000,59.0,0,44,2.24
Rawson,AR,-43.3,-65.11,1538177882,54.42,20,65,6.85
Rajapur,IN,25.39,81.15,1538177882,75.57,8,71,2.59
Esperance,TT,10.24,-61.45,1538175600,80.6,20,88,7.96
Busselton,AU,-33.64,115.35,1538177564,59.46,76,100,20.15
Itoman,JP,26.12,127.67,1538177280,78.8,75,88,46.08
Saskylakh,RU,71.97,114.09,1538177724,31.74,92,94,12.21
Victoria,BN,5.28,115.24,1538175600,78.8,75,94,4.16
Hilo,US,19.71,-155.08,1538175360,87.08,20,63,12.75
Sebeta,ET,8.91,38.62,1538175600,59.0,20,47,9.17
Toamasina,MG,-18.17,49.38,1538175600,66.2,75,93,2.15
Bluff,AU,-23.58,149.07,1538177723,77.46,0,55,5.61
Qaanaaq,GL,77.48,-69.36,1538177697,13.29,0,100,11.77
Lazaro Cardenas,MX,28.39,-105.62,1538174460,84.2,40,30,5.82
Methoni,GR,36.82,21.7,1538175000,62.6,75,88,4.7
Riyadh,SA,24.63,46.72,1538175600,80.6,0,12,3.36
Maceio,BR,-9.67,-35.74,1538175600,73.4,0,88,8.05
Nanortalik,GL,60.14,-45.24,1538177748,37.77,0,94,30.22
Rocha,UY,-34.48,-54.34,1538177758,61.71,92,97,18.37
Sobolevo,RU,54.43,31.9,1538177886,36.78,80,91,2.93
Kedrovyy,RU,56.17,91.82,1538175600,33.8,0,100,4.47
La Ronge,CA,55.1,-105.3,1538175600,37.4,90,55,10.29
Grand Gaube,MU,-20.01,57.66,1538175600,71.6,40,73,10.29
Souillac,FR,45.6,-0.6,1538177400,64.4,0,55,13.87
Mahebourg,MU,-20.41,57.7,1538175600,71.6,40,73,10.29
Angoche,MZ,-16.23,39.91,1538177887,77.01,0,100,10.42
Lata,IN,30.78,78.62,1538177669,45.87,0,86,2.26
Saint-Pierre,FR,48.95,4.24,1538175600,53.6,0,81,18.34
Saint Anthony,US,43.97,-111.68,1538175360,78.08,1,3,8.05
Deputatskiy,RU,69.3,139.9,1538177889,27.6,80,87,12.88
Salalah,OM,17.01,54.1,1538175000,78.8,75,74,3.36
Kaitangata,NZ,-46.28,169.85,1538177619,59.19,32,69,11.65
Coos Bay,US,43.37,-124.22,1538176500,55.04,90,86,9.17
Clyde River,CA,70.47,-68.59,1538175600,30.2,75,80,3.36
Fortuna Foothills,US,32.66,-114.41,1538175420,105.08,20,16,16.11
Cherskiy,RU,68.75,161.3,1538177643,37.32,32,86,3.15
Isangel,VU,-19.55,169.27,1538177787,71.61,92,100,18.7
Katangli,RU,51.71,143.23,1538177891,56.31,0,77,12.33
Faanui,PF,-16.48,-151.75,1538177716,77.19,24,100,5.61
Aripuana,BR,-9.17,-60.63,1538177761,79.44,8,82,2.59
Longyearbyen,NO,78.22,15.63,1538175000,26.6,75,73,21.92
Mount Isa,AU,-20.73,139.49,1538175600,84.2,0,20,5.82
Airai,TL,-8.93,125.41,1538177657,76.11,0,62,2.37
Tamale,GH,9.4,-0.84,1538177762,75.39,8,89,6.62
Bathsheba,BB,13.22,-59.52,1538175600,82.4,20,78,21.92
Aklavik,CA,68.22,-135.01,1538175600,33.8,75,74,9.17
Tiksi,RU,71.64,128.87,1538177811,29.76,92,99,4.16
Vanavara,RU,60.35,102.28,1538177893,30.66,0,80,2.48
Arraial do Cabo,BR,-22.97,-42.02,1538177894,72.69,64,98,6.29
Tapes,BR,-30.67,-51.4,1538177894,66.84,48,91,19.26
Abha,SA,18.22,42.5,1538175600,68.0,0,31,5.82
Axim,GH,4.87,-2.24,1538177895,78.09,92,98,9.75
Codrington,AU,-28.95,153.24,1538177717,73.14,0,71,8.19
Atuona,PF,-9.8,-139.03,1538177542,79.53,76,100,10.65
Hofn,IS,64.25,-15.21,1538177655,45.69,0,96,33.91
Nikolskoye,RU,59.7,30.79,1538175600,39.2,0,69,6.71
Kavieng,PG,-2.57,150.8,1538177672,85.11,12,100,8.63
Nhulunbuy,AU,-12.18,136.78,1538175600,80.6,40,57,17.22
Dinguiraye,GN,11.29,-10.71,1538177896,67.74,36,98,4.16
Werda,DE,50.44,12.3,1538176800,41.0,36,100,2.24
Saint-Augustin,FR,44.83,-0.61,1538175600,66.2,0,63,8.05
Rottingdean,GB,50.8,-0.06,1538176800,46.4,0,81,3.36
Krutikha,RU,53.96,81.21,1538177897,50.37,24,72,15.12
Ngunguru,NZ,-35.62,174.5,1538177898,57.21,0,100,1.48
Talaya,RU,55.79,84.89,1538177898,51.45,32,70,11.21
Ribeira Grande,PT,38.52,-28.7,1538177639,73.23,32,100,12.55
Baykit,RU,61.68,96.39,1538177898,29.85,0,81,4.38
Wangaratta,AU,-36.36,146.32,1538175600,50.0,8,57,11.41
Georgetown,GY,6.8,-58.16,1538175600,80.6,20,83,9.17
Collie,AU,-33.36,116.15,1538177900,56.04,32,51,16.24
Keflavik,IS,64.0,-22.56,1538175600,42.8,75,87,27.51
Egvekinot,RU,66.32,-179.17,1538177900,38.31,92,99,8.52
College,US,64.86,-147.8,1538175480,54.14,1,7,13.87
Ponta do Sol,BR,-20.63,-46.0,1538177708,73.77,68,60,7.52
Bandarbeyla,SO,9.49,50.81,1538177858,77.01,0,99,18.7
Jiangkou,CN,30.7,117.56,1538177901,68.19,0,93,5.39
Bredasdorp,ZA,-34.53,20.04,1538175600,55.4,36,62,5.82
Awjilah,LY,29.14,21.3,1538177902,60.99,0,45,8.63
Vestmannaeyjar,IS,63.44,-20.27,1538177732,45.15,92,100,31.0
Richards Bay,ZA,-28.77,32.06,1538177903,67.56,88,84,4.38
Bay Roberts,CA,47.58,-53.28,1538175600,51.8,90,100,11.41
Astana,KZ,51.13,71.43,1538175600,39.2,0,80,8.95
Westport,IE,53.8,-9.52,1538177904,40.11,0,100,4.38
Walvis Bay,NA,-22.95,14.51,1538175600,53.6,0,81,8.05
Torbay,CA,47.66,-52.73,1538175600,51.8,90,100,11.41
Kruisfontein,ZA,-34.0,24.73,1538177579,60.45,88,84,23.85
Pilar,AR,-34.46,-58.91,1538175600,69.8,0,83,11.41
Trairi,BR,-3.28,-39.27,1538177905,79.89,0,98,17.81
Ballina,IE,54.11,-9.15,1538177905,36.69,8,100,3.15
Calafell,ES,41.2,1.57,1538177400,69.8,0,72,6.93
Ilebo,CD,-4.33,20.59,1538177906,75.39,80,91,2.15
Lakes Entrance,AU,-37.88,147.99,1538177778,51.09,56,91,12.55
Shakiso,ET,5.77,38.9,1538177906,58.47,80,99,2.37
Zhigansk,RU,66.77,123.37,1538177907,33.81,44,100,5.73
Beringovskiy,RU,63.05,179.32,1538177732,48.12,100,95,17.13
Kununurra,AU,-15.77,128.74,1538175600,80.6,0,74,8.05
Hobart,AU,-42.88,147.33,1538175600,50.0,20,46,23.04
Big Bend,SZ,-26.79,31.94,1538172000,60.8,92,93,1.12
Hasaki,JP,35.73,140.83,1538176500,68.0,75,100,2.24
Nioro,GM,13.79,-15.05,1538177908,78.99,68,79,8.41
Avarua,CK,-21.21,-159.78,1538177805,72.15,76,100,15.23
Barghat,IN,22.03,79.74,1538177909,68.01,0,85,2.71
Lorengau,PG,-2.02,147.27,1538177909,84.66,20,97,9.53
Nantucket,US,41.28,-70.1,1538176500,60.98,90,93,14.99
Cove,US,29.8,-94.84,1538177700,80.96,75,74,7.18
Yellowknife,CA,62.45,-114.38,1538175600,33.8,90,80,14.99
Cockburn Town,TC,21.46,-71.14,1538177631,83.67,56,97,16.24
Esso,RU,55.93,158.7,1538177911,47.13,0,44,2.59
Thompson,CA,55.74,-97.86,1538175600,33.8,90,59,10.29
Sao Joao da Barra,BR,-21.64,-41.05,1538175600,75.2,90,88,11.41
Saint-Philippe,CA,45.36,-73.48,1538176500,66.2,1,77,12.75
Paramonga,PE,-10.68,-77.82,1538177912,61.17,68,100,7.74
Luhyny,UA,51.08,28.4,1538177912,49.29,12,95,6.29
Kodiak,US,39.95,-94.76,1538175180,53.06,90,60,10.29
Puerto Baquerizo Moreno,EC,-0.9,-89.6,1538175600,73.4,75,83,13.87
Sao Paulo de Olivenca,BR,-3.38,-68.87,1538177913,81.06,8,80,3.71
Pingliang,CN,35.54,106.68,1538177914,40.56,0,77,2.71
Dingle,PH,11.0,122.67,1538177683,78.0,76,97,6.85
Jiuquan,CN,39.73,98.49,1538177914,28.86,0,43,6.62
Flinders,AU,-34.58,150.85,1538172000,59.0,68,47,6.93
Devils Lake,US,48.11,-98.87,1538176500,41.0,90,15,13.87
Opunake,NZ,-39.45,173.86,1538177915,54.87,76,88,14.23
Cabo San Lucas,MX,22.89,-109.91,1538174520,86.0,75,74,10.29
Batsfjord,NO,70.63,29.72,1538175000,30.2,20,80,11.41
Oktyabrskiy,RU,55.61,37.97,1538175600,42.8,75,75,6.71
Tilichiki,RU,60.47,166.1,1538177916,40.74,0,94,3.83
Chokurdakh,RU,70.62,147.9,1538177728,30.21,56,100,6.17
New Norfolk,AU,-42.78,147.06,1538175600,50.0,20,46,23.04
Ferme-Neuve,CA,46.7,-75.45,1538177887,53.61,88,100,10.65
Sao Jose da Coroa Grande,BR,-8.9,-35.15,1538177900,72.06,24,98,5.61
Saint George,GR,39.45,22.34,1538175000,60.8,75,63,8.05
Puerto Escondido,MX,15.86,-97.07,1538174460,87.8,90,62,23.73
Namatanai,PG,-3.66,152.44,1538177918,84.12,0,96,13.0
Khorramshahr,IR,30.43,48.18,1538175600,78.8,0,29,4.7
Acapulco,MX,16.86,-99.88,1538174820,86.0,75,74,5.82
Huamachuco,PE,-7.82,-78.05,1538177919,48.66,80,90,1.92
Carnarvon,ZA,-30.97,22.13,1538177859,38.67,0,43,9.08
Laval,CA,45.58,-73.75,1538175600,66.2,40,72,10.29
Erzin,TR,36.95,36.2,1538175000,77.0,0,65,8.05
Marystown,CA,47.17,-55.16,1538177920,54.06,100,96,15.01
Martapura,ID,-3.41,114.85,1538172000,73.4,90,94,3.36
Portland,US,45.52,-122.67,1538175360,87.08,1,26,3.36
Rome,IT,41.89,12.48,1538175300,60.8,0,62,5.82
Vila Franca do Campo,PT,37.72,-25.43,1538175600,71.6,75,88,9.17
Kavaratti,IN,10.57,72.64,1538177922,79.26,64,100,9.19
Henties Bay,NA,-22.12,14.28,1538177922,54.87,0,98,1.92
Pisco,PE,-13.71,-76.2,1538175600,71.6,0,30,12.75
Sfantu Gheorghe,RO,44.65,26.83,1538175600,53.6,0,81,2.93
Liwale,TZ,-9.8,37.92,1538177923,64.14,8,93,3.15
Belmonte,PT,40.36,-7.35,1538177923,58.29,8,73,3.38
Kuryk,KZ,43.18,51.68,1538177923,55.77,20,74,11.88
Yerbogachen,RU,61.28,108.01,1538177753,32.73,0,84,2.37
Pabrade,LT,55.0,25.78,1538176800,42.8,75,93,6.93
Rabat,MA,34.02,-6.83,1538175600,77.0,20,50,10.29
Skagen,SE,58.6,13.44,1538176800,33.8,0,100,4.7
Mar del Plata,AR,-46.43,-67.52,1538177730,57.03,0,50,10.65
Kilindoni,TZ,-7.91,39.67,1538177925,78.09,8,99,11.54
Gat,SN,14.69,-16.54,1538175600,82.4,32,83,4.7
Hauterive,FR,46.09,3.45,1538177400,59.0,75,62,9.17
Mount Gambier,AU,-37.83,140.78,1538177702,53.61,64,77,4.61
Tasiilaq,GL,65.61,-37.64,1538175000,42.8,0,30,28.86
Hithadhoo,MV,-0.6,73.08,1538177582,79.26,92,100,19.82
Gushi,CN,32.17,115.65,1538177927,65.85,0,81,4.16
Miram Shah,PK,33.01,70.07,1538177927,52.26,0,76,2.93
Marshfield,US,42.09,-70.71,1538176740,60.08,90,87,3.36
Sola,NO,58.89,5.65,1538176800,50.0,90,87,3.36
Ushtobe,KZ,45.25,77.98,1538177928,45.42,0,73,3.38
Syamzha,RU,60.02,41.06,1538177929,42.09,92,97,11.43
Spearfish,US,44.49,-103.86,1538176500,42.8,75,81,10.29
Novyy Urgal,RU,51.07,132.56,1538177780,53.07,0,84,3.83
Noumea,NC,-22.28,166.46,1538175600,77.0,0,47,12.75
Guerrero Negro,MX,27.97,-114.04,1538177800,81.69,8,51,10.31
Vao,EE,59.1,26.19,1538177930,37.14,0,83,5.61
Gambissara,SN,13.24,-14.31,1538177930,76.74,92,85,6.73
Sovetskaya Gavan,RU,48.97,140.29,1538177931,54.33,0,91,5.84
Derzhavinsk,KZ,51.1,66.31,1538177613,38.22,8,86,8.08
Leningradskiy,RU,69.38,178.42,1538177635,42.0,88,91,16.8
Neiafu,TO,-18.65,-173.98,1538175600,78.8,75,69,8.05
East London,ZA,-33.02,27.91,1538177361,65.31,0,100,30.33
Brae,GB,60.4,-1.35,1538176800,50.0,92,66,26.4
Marzuq,YE,14.4,46.47,1538177932,51.27,0,53,2.26
Bambanglipuro,ID,-7.95,110.28,1538177932,71.16,80,95,3.38
Araguari,BR,-18.65,-48.19,1538172000,80.6,0,51,10.29
Cururupu,BR,-1.82,-44.87,1538177933,79.26,12,77,9.53
Katsuura,JP,33.93,134.5,1538175600,66.2,75,100,3.36
Purworejo,ID,-7.71,110.01,1538177934,73.5,92,99,4.16
Lumphat,KH,13.5,106.97,1538177935,75.39,0,93,2.93
Strzelce Opolskie,PL,50.52,18.3,1538177400,50.0,0,66,8.05
Namibe,AO,-15.19,12.15,1538177918,68.55,12,99,7.4
Zyryanka,RU,65.73,150.89,1538177936,32.73,92,80,8.08
Coquimbo,CL,-29.95,-71.34,1538175600,55.4,20,93,6.93
Lufilufi,WS,-13.87,-171.6,1538175600,87.8,75,62,9.17
Oxelosund,SE,58.67,17.1,1538176800,35.6,0,80,4.7
Paris,FR,48.86,2.35,1538175600,51.8,0,71,4.7
Syasstroy,RU,60.14,32.56,1538177938,41.91,88,90,9.19
Athni,IN,16.73,75.07,1538177938,68.37,24,97,3.49
Port Macquarie,AU,-31.43,152.91,1538175600,68.0,8,60,5.82
Buraydah,SA,26.33,43.97,1538175600,84.2,0,21,6.93
Qorveh,IR,35.17,47.8,1538177878,51.36,0,53,7.96
Kalmunai,LK,7.42,81.82,1538177939,72.51,68,100,2.71
Port Augusta,AU,-32.49,137.76,1538175600,53.6,0,58,11.41
Harbour Breton,CA,47.48,-55.8,1538177940,54.51,100,95,13.67
Lagoa,PT,37.14,-8.45,1538175600,71.6,0,83,4.7
Tiznit,MA,29.7,-9.73,1538177940,69.99,80,94,4.83
Bacungan,PH,9.87,118.73,1538175600,80.6,20,83,2.24
